rep,dist_m,frac,eff_dose,auc,tss,range_area_pct_change_05,range_area_pct_change_maxsss,suitability_mad,schoener_d,entity,algorithm
13,2000,20,8.106796116504855,0.8414150418072867,0.45999821635622,-11.38259833134684,-14.374999999999998,0.0289841675415686,0.8827206792667658,Astacus astacus,xgboost
13,2000,50,18.610301263362487,0.8133001836086418,0.4386628750504211,-26.400476758045293,-26.11464968152866,0.0418478754882864,0.8226676287785447,Astacus astacus,xgboost
14,1000,10,3.25242718446602,0.8372473841463921,0.4517376297524403,-5.885815185403178,-8.221024258760108,0.0240726226217428,0.9076218996519552,Astacus astacus,xgboost
14,1000,20,5.485436893203883,0.8335367454710486,0.4464699377606024,-11.712772218952324,-14.382632293080055,0.0274835458854773,0.8904534040556971,Astacus astacus,xgboost
14,1000,50,15.063168124392616,0.8378941663168,0.4518499565876145,-28.25191288993525,-26.356589147286822,0.042209800505318,0.8257860209491659,Astacus astacus,xgboost
14,2000,10,3.6407766990291264,0.8378774961385892,0.4560372693526462,-6.827545615067687,-5.904522613065327,0.0246744691100053,0.9058124386550792,Astacus astacus,xgboost
14,2000,20,7.135922330097087,0.8281433277894831,0.438778480671929,-11.771630370806356,-12.988826815642456,0.0298690443806864,0.8806257412544993,Astacus astacus,xgboost
14,2000,50,20.21379980563654,0.832183559443498,0.4582225830984089,-28.84049440847557,-28.46975088967972,0.0434136637918887,0.817709014896305,Astacus astacus,xgboost
0,1000,10,1.0810810810810811,0.8747491677393988,0.5348457037800812,1.632302405498282,1.3803680981595092,0.0188549798911757,0.9413923964956762,Austropotamobius fulcisianus (pooled),random_forest
0,1000,20,2.1476510067114094,0.8766155119183378,0.5184610302299624,-5.756013745704467,-6.846473029045644,0.0201581894172383,0.9376788099983177,Austropotamobius fulcisianus (pooled),random_forest
0,1000,50,5.241935483870968,0.842994855003099,0.49727828386967,-23.711340206185564,-28.125,0.0287253371185237,0.9231238619267516,Austropotamobius fulcisianus (pooled),random_forest
0,2000,10,2.5675675675675675,0.8808430003666454,0.5313152647932502,3.865979381443299,2.25140712945591,0.0177221039350208,0.9455428124746096,Austropotamobius fulcisianus (pooled),random_forest
0,2000,20,5.503355704697986,0.8741320785765718,0.511056435359846,-5.498281786941581,-7.188160676532769,0.0223133822253765,0.9288064886165484,Austropotamobius fulcisianus (pooled),random_forest
0,2000,50,13.844086021505376,0.8351904736709366,0.4653114855746526,-24.140893470790378,-25.55066079295154,0.0317681570854033,0.9142146068330764,Austropotamobius fulcisianus (pooled),random_forest
1,1000,10,0.8108108108108109,0.8358092178667528,0.4775620194889242,-3.3308660251665434,-6.743421052631579,0.0150224745682517,0.9558381568401652,Austropotamobius fulcisianus (pooled),random_forest
1,1000,20,2.8187919463087248,0.8518957114925578,0.4669349072749372,-2.8127313101406366,-8.681135225375627,0.017288068764293,0.9490816953022928,Austropotamobius fulcisianus (pooled),random_forest
1,1000,50,6.586021505376344,0.8377190252337232,0.4835367834966138,-19.541080680977053,-22.28260869565217,0.0304722025076886,0.9159243602859966,Austropotamobius fulcisianus (pooled),random_forest
1,2000,10,3.378378378378378,0.8386148156931237,0.4357659011550323,-4.071058475203553,-5.454545454545454,0.0169891964356123,0.9491887729717172,Austropotamobius fulcisianus (pooled),random_forest
1,2000,20,5.369127516778524,0.8498085617165313,0.4812041692478647,-4.219096965210955,-9.715242881072026,0.0180818547433167,0.9463731927278368,Austropotamobius fulcisianus (pooled),random_forest
1,2000,50,12.365591397849462,0.8305054792659516,0.4701713654849613,-18.726868985936346,-21.022727272727277,0.0328464632126803,0.9073302309827652,Austropotamobius fulcisianus (pooled),random_forest
2,1000,10,0.6756756756756757,0.834612294361048,0.4814946638241882,-4.357798165137615,-1.6793893129770994,0.0162848355807901,0.9508139529885868,Austropotamobius fulcisianus (pooled),random_forest
2,1000,20,2.2818791946308723,0.8300742250547406,0.4549756151392442,-4.969418960244648,-9.500805152979067,0.0192197776200615,0.9423431750086866,Austropotamobius fulcisianus (pooled),random_forest
2,1000,50,6.989247311827956,0.8483496147154225,0.5119847943114331,-23.547400611620795,-28.846153846153843,0.0340791735667534,0.9140864473901774,Austropotamobius fulcisianus (pooled),random_forest
2,2000,10,2.702702702702702,0.8341256292642415,0.4854334855882886,-5.73394495412844,-2.478134110787172,0.0186996293667691,0.9426510877558274,Austropotamobius fulcisianus (pooled),random_forest
2,2000,20,5.503355704697986,0.8253906705917201,0.4764540001658198,-6.498470948012232,-6.741573033707865,0.0201821622900402,0.9384787883342482,Austropotamobius fulcisianus (pooled),random_forest
2,2000,50,12.231182795698924,0.840371672036742,0.4764383447898389,-25.229357798165136,-24.680851063829788,0.0358418105827616,0.9069323011699968,Austropotamobius fulcisianus (pooled),random_forest
3,1000,10,1.6216216216216215,0.8694129535136524,0.4738201456381081,-2.158273381294964,-5.279503105590062,0.0166497910259443,0.950070878042034,Austropotamobius fulcisianus (pooled),random_forest
3,1000,20,3.087248322147651,0.8688078470506104,0.4795512350606671,-6.474820143884892,-14.330708661417324,0.0207688668086113,0.940039134649894,Austropotamobius fulcisianus (pooled),random_forest
3,1000,50,6.182795698924731,0.8603679378676368,0.4655464488277681,-17.825739408473222,-29.565217391304348,0.0329557605867045,0.9141269927948334,Austropotamobius fulcisianus (pooled),random_forest
3,2000,10,2.4324324324324325,0.8739929827965995,0.4646389185596251,-4.716227018385292,-2.14395099540582,0.0190483400362747,0.9417840038356916,Austropotamobius fulcisianus (pooled),random_forest
3,2000,20,5.369127516778524,0.870128763457153,0.4728881385113447,-6.554756195043964,-13.19796954314721,0.0214954656572825,0.9369091884198352,Austropotamobius fulcisianus (pooled),random_forest
3,2000,50,13.172043010752688,0.8563942801025516,0.4464424962537052,-18.94484412470024,-23.84937238493724,0.0359440107247062,0.9034011481223642,Austropotamobius fulcisianus (pooled),random_forest
4,1000,10,1.351351351351351,0.8679260670449461,0.5223547896536685,-2.0390824129141887,-4.27807486631016,0.0158769813106221,0.9519959675995884,Austropotamobius fulcisianus (pooled),random_forest
4,1000,20,1.8791946308724832,0.8607601035329129,0.5374984974961613,-7.90144435004248,-9.183673469387756,0.0224688904660515,0.932571186096713,Austropotamobius fulcisianus (pooled),random_forest
4,1000,50,5.779569892473118,0.8602200098272469,0.5430875045866054,-27.442650807136783,-30.05464480874317,0.0366291301947795,0.90454101830214,Austropotamobius fulcisianus (pooled),random_forest
