axis,level,algorithm,track,metric,delta,ci_lo,ci_hi,n,entities,tier
lowacc,10,xgboost,combined,importance_spearman,,,,0,8,full_panel
lowacc,10,xgboost,combined,env_centroid_disp,,,,0,8,full_panel
lowacc,10,xgboost,combined,env_dispersion_change,,,,0,8,full_panel
lowacc,10,xgboost,local_only,auc,-0.02461401356734886,-0.03751062470574068,-0.013500133056006917,240,8,full_panel
lowacc,10,xgboost,local_only,tss,-0.04723022079293575,-0.06499686616801821,-0.03053654618899047,240,8,full_panel
lowacc,10,xgboost,local_only,brier,0.014566127420888267,0.007831755614430568,0.022573321580924777,240,8,full_panel
lowacc,10,xgboost,local_only,sensitivity,-0.02123060612988513,-0.036681786282739375,-0.007783198693947757,240,8,full_panel
lowacc,10,xgboost,local_only,specificity,-0.025999614663050653,-0.04239419162062405,-0.010851645658116837,240,8,full_panel
lowacc,10,xgboost,local_only,omission_rate,0.02123060612988513,0.006884306494245917,0.036654573516983494,240,8,full_panel
lowacc,10,xgboost,local_only,importance_spearman,,,,0,8,full_panel
lowacc,10,xgboost,local_only,env_centroid_disp,,,,0,8,full_panel
lowacc,10,xgboost,local_only,env_dispersion_change,,,,0,8,full_panel
lowacc,10,xgboost,upstream_only,auc,-0.009223172778632736,-0.01883880727129676,7.021333635754715e-05,240,8,full_panel
lowacc,10,xgboost,upstream_only,tss,-0.02884968451229882,-0.052808201959431214,-0.007192301498998078,240,8,full_panel
lowacc,10,xgboost,upstream_only,brier,0.0017946649109414742,-0.0019129806724342915,0.007386659966836306,240,8,full_panel
lowacc,10,xgboost,upstream_only,sensitivity,-0.002567066838822159,-0.02265951903981415,0.01929418677432162,240,8,full_panel
lowacc,10,xgboost,upstream_only,specificity,-0.026282617673476633,-0.057196207844202825,-0.005269510591961582,240,8,full_panel
lowacc,10,xgboost,upstream_only,omission_rate,0.002567066838822166,-0.01873642559356782,0.02328003752599801,240,8,full_panel
lowacc,10,xgboost,upstream_only,importance_spearman,,,,0,8,full_panel
lowacc,10,xgboost,upstream_only,env_centroid_disp,,,,0,8,full_panel
lowacc,10,xgboost,upstream_only,env_dispersion_change,,,,0,8,full_panel
lowacc,20,maxent,combined,auc,-0.04787644021947265,-0.07631724901898126,-0.023190063295088725,80,8,full_panel
lowacc,20,maxent,combined,tss,-0.09655398380587824,-0.14114409189252017,-0.05697426123077709,80,8,full_panel
lowacc,20,maxent,combined,brier,0.04264026206461154,0.013101229979196313,0.08555248627114287,80,8,full_panel
lowacc,20,maxent,combined,sensitivity,-0.05178019259179662,-0.0813957781853715,-0.02510028809284348,80,8,full_panel
lowacc,20,maxent,combined,specificity,-0.044773791214081635,-0.08900321355664019,-0.01275467904279648,80,8,full_panel
lowacc,20,maxent,combined,omission_rate,0.051780192591796614,0.025254285517373017,0.08098889334407637,80,8,full_panel
lowacc,20,maxent,combined,importance_spearman,,,,0,8,full_panel
lowacc,20,maxent,combined,env_centroid_disp,,,,0,8,full_panel
lowacc,20,maxent,combined,env_dispersion_change,,,,0,8,full_panel
lowacc,20,maxent,local_only,auc,-0.04447963731993806,-0.07432715149472839,-0.01883482158901054,70,7,full_panel
lowacc,20,maxent,local_only,tss,-0.09140467380316039,-0.13960032669725433,-0.05018386114234166,70,7,full_panel
lowacc,20,maxent,local_only,brier,0.03509001043602434,0.0057212773511516055,0.08288490249621086,70,7,full_panel
lowacc,20,maxent,local_only,sensitivity,-0.05453269867661984,-0.09957392064305676,-0.01645407529700915,70,7,full_panel
lowacc,20,maxent,local_only,specificity,-0.03687197512654057,-0.0877020960366146,-0.0011694906812974972,70,7,full_panel
lowacc,20,maxent,local_only,omission_rate,0.05453269867661982,0.016448435807164104,0.09925746258042804,70,7,full_panel
lowacc,20,maxent,local_only,importance_spearman,,,,0,7,full_panel
lowacc,20,maxent,local_only,env_centroid_disp,,,,0,7,full_panel
lowacc,20,maxent,local_only,env_dispersion_change,,,,0,7,full_panel
lowacc,20,maxent,upstream_only,auc,-0.015354231921847008,-0.033553479174007805,0.003072765160050926,80,8,full_panel
lowacc,20,maxent,upstream_only,tss,-0.02934487027998287,-0.057890355171310526,-0.006481701601717584,80,8,full_panel
lowacc,20,maxent,upstream_only,brier,0.008659570522824605,0.002272969875403195,0.015758146723891985,80,8,full_panel
lowacc,20,maxent,upstream_only,sensitivity,-0.024451922966324945,-0.045406108450519046,-0.007537050175656679,80,8,full_panel
lowacc,20,maxent,upstream_only,specificity,-0.0048929473136579355,-0.013611909712753353,0.004294799090540096,80,8,full_panel
lowacc,20,maxent,upstream_only,omission_rate,0.024451922966324948,0.007817938619801316,0.046123802462476673,80,8,full_panel
lowacc,20,maxent,upstream_only,importance_spearman,,,,0,8,full_panel
lowacc,20,maxent,upstream_only,env_centroid_disp,,,,0,8,full_panel
lowacc,20,maxent,upstream_only,env_dispersion_change,,,,0,8,full_panel
lowacc,20,random_forest,combined,auc,-0.040486361813921276,-0.060929243968543066,-0.02247384312860504,240,8,full_panel
lowacc,20,random_forest,combined,tss,-0.07902520181409994,-0.11660312513587481,-0.04542638367226977,240,8,full_panel
lowacc,20,random_forest,combined,brier,0.019388342891705698,0.011790668483172935,0.028089674714890964,240,8,full_panel
lowacc,20,random_forest,combined,sensitivity,-0.03259966774528722,-0.06289958121892886,-0.007877683008446814,240,8,full_panel
lowacc,20,random_forest,combined,specificity,-0.04642553406881278,-0.07875766488279075,-0.0214147069168188,240,8,full_panel
lowacc,20,random_forest,combined,omission_rate,0.032599667745287206,0.007252267310150603,0.06268789765997333,240,8,full_panel
lowacc,20,random_forest,combined,importance_spearman,,,,0,8,full_panel
lowacc,20,random_forest,combined,env_centroid_disp,,,,0,8,full_panel
lowacc,20,random_forest,combined,env_dispersion_change,,,,0,8,full_panel
lowacc,20,random_forest,local_only,auc,-0.04091303810128469,-0.06252480295910479,-0.023019524378357352,240,8,full_panel
lowacc,20,random_forest,local_only,tss,-0.07925474163660917,-0.11706789290235527,-0.04362282159959673,240,8,full_panel
lowacc,20,random_forest,local_only,brier,0.019611772172002724,0.01183753372659534,0.028131656399904392,240,8,full_panel
lowacc,20,random_forest,local_only,sensitivity,-0.03227300095012744,-0.06080556614576334,-0.009057627298152899,240,8,full_panel
lowacc,20,random_forest,local_only,specificity,-0.0469817406864817,-0.07844655576337076,-0.021191369147950626,240,8,full_panel
lowacc,20,random_forest,local_only,omission_rate,0.032273000950127424,0.008067065465208394,0.060127110967276715,240,8,full_panel
lowacc,20,random_forest,local_only,importance_spearman,,,,0,8,full_panel
lowacc,20,random_forest,local_only,env_centroid_disp,,,,0,8,full_panel
lowacc,20,random_forest,local_only,env_dispersion_change,,,,0,8,full_panel
lowacc,20,random_forest,upstream_only,auc,-0.021727316008866356,-0.044075190006475654,-0.0013405719307911642,240,8,full_panel
lowacc,20,random_forest,upstream_only,tss,-0.040668341848371814,-0.08049255883188247,-0.0020979532611121116,240,8,full_panel
lowacc,20,random_forest,upstream_only,brier,0.0065743407036541945,4.5364663896173484e-05,0.014009514778734033,240,8,full_panel
lowacc,20,random_forest,upstream_only,sensitivity,0.002440021700864256,-0.05265963175381071,0.0679817098631111,240,8,full_panel
lowacc,20,random_forest,upstream_only,specificity,-0.043108363549236084,-0.08821589514758922,-0.011827561573991181,240,8,full_panel
lowacc,20,random_forest,upstream_only,omission_rate,-0.0024400217008642353,-0.06749089161108787,0.05301273925496098,240,8,full_panel
lowacc,20,random_forest,upstream_only,importance_spearman,,,,0,8,full_panel
lowacc,20,random_forest,upstream_only,env_centroid_disp,,,,0,8,full_panel
lowacc,20,random_forest,upstream_only,env_dispersion_change,,,,0,8,full_panel
lowacc,20,xgboost,combined,auc,-0.04245445949621433,-0.06580401228713582,-0.024291469247539388,240,8,full_panel
lowacc,20,xgboost,combined,tss,-0.07712534110482616,-0.10882128730067951,-0.04883911467919002,240,8,full_panel
lowacc,20,xgboost,combined,brier,0.02465915651184242,0.014097331670339053,0.037223013972152774,240,8,full_panel
