entity,algorithm,axis,level,rho_full,jac5,jac10
Astacus astacus,random_forest,snapping,2,0.976769881196469,0.6666666666666666,1.0
Astacus astacus,random_forest,snapping,2,0.9796807317988092,0.6666666666666666,1.0
Astacus astacus,random_forest,snapping,2,0.9806003384681726,1.0,0.8181818181818182
Astacus astacus,random_forest,snapping,2,0.9827146400378912,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,2,0.980622506831408,0.6666666666666666,1.0
Astacus astacus,random_forest,snapping,2,0.9854646740998217,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,2,0.9795509518180764,0.6666666666666666,1.0
Astacus astacus,random_forest,snapping,2,0.9809392495430053,1.0,0.8181818181818182
Astacus astacus,random_forest,snapping,2,0.9796792400748927,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,2,0.9771450678059822,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,2,0.9789850912124284,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,2,0.9816159689846707,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,5,0.9821896714577836,0.6666666666666666,1.0
Astacus astacus,random_forest,snapping,5,0.9795555700224611,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,5,0.9831440303370581,0.6666666666666666,1.0
Astacus astacus,random_forest,snapping,5,0.9789174001655592,0.6666666666666666,1.0
Astacus astacus,random_forest,snapping,5,0.9803488954924635,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,5,0.9794571175289841,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,5,0.9812157157088579,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,5,0.9861725076568525,0.6666666666666666,1.0
Astacus astacus,random_forest,snapping,5,0.9816519654637961,0.6666666666666666,1.0
Astacus astacus,random_forest,snapping,5,0.9834900974401706,0.6666666666666666,1.0
Astacus astacus,random_forest,snapping,5,0.9785067329255691,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,5,0.9852369061463582,1.0,0.8181818181818182
Astacus astacus,random_forest,snapping,5,0.9808721219667641,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,5,0.9751480806175156,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,5,0.9769303942688997,1.0,0.8181818181818182
Astacus astacus,random_forest,snapping,5,0.9791153684344668,0.42857142857142855,1.0
Astacus astacus,random_forest,snapping,5,0.9816975425338781,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,5,0.981543867919852,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,5,0.9836628933524382,0.6666666666666666,0.8181818181818182
