entity_id,algorithm,axis,level,n_reps_ok,auc_mean,auc_lo,auc_hi
Procambarus_clarkii_native,maxent,lowacc,20,30,0.7744641935572528,0.7621288472556403,0.7857946637551779
Procambarus_clarkii_native,maxent,lowacc,35,30,0.780254695892384,0.7701942526304137,0.7901936735783144
Procambarus_clarkii_native,maxent,lowacc,50,30,0.7709328785841074,0.7581390853587305,0.7827082103210556
Procambarus_clarkii_native,maxent,snapping,0,49,0.7861196105374703,0.7760397412092869,0.7965089571363118
Procambarus_clarkii_native,maxent,snapping,5,50,0.7754416486607931,0.7653125890169359,0.78535563185777
Procambarus_clarkii_native,maxent,snapping,10,50,0.7627228528562949,0.7522255243439386,0.772865741254445
Procambarus_clarkii_native,maxent,snapping,20,30,0.7659980670673395,0.7519785958847236,0.7799336137267322
Procambarus_clarkii_native,maxent,snapping,35,30,0.763177299214757,0.7501637904571935,0.7764014635664115
Procambarus_clarkii_native,maxent,snapping,50,30,0.7721050700233352,0.7599686551085881,0.7826732901208039
Procambarus_clarkii_native,random_forest,lowacc,0,50,0.7867211369520198,0.7689764937341909,0.8032217231587013
Procambarus_clarkii_native,random_forest,lowacc,5,50,0.800326601544229,0.787477847750182,0.8131357589194925
Procambarus_clarkii_native,random_forest,lowacc,10,50,0.7973475616473076,0.7814210697198057,0.8134121964566309
Procambarus_clarkii_native,random_forest,lowacc,20,30,0.7927399284632111,0.7739622026532378,0.8127851584370583
Procambarus_clarkii_native,random_forest,lowacc,35,30,0.8002833880972064,0.7810710403056023,0.8178192305433007
Procambarus_clarkii_native,random_forest,lowacc,50,30,0.7928566120427885,0.7730452002216308,0.8115645606045832
Procambarus_clarkii_native,random_forest,snapping,0,50,0.7998672879677141,0.7828637401252472,0.81650413370494
Procambarus_clarkii_native,random_forest,snapping,5,50,0.785801122852525,0.770881943836275,0.7997024616957169
Procambarus_clarkii_native,random_forest,snapping,10,50,0.7804060119652896,0.7628063011663428,0.7968532346001774
Procambarus_clarkii_native,random_forest,snapping,20,30,0.7745973191404019,0.754663772946404,0.7941774792618813
Procambarus_clarkii_native,random_forest,snapping,35,30,0.7757320713857844,0.7525390953355663,0.7973535904380596
Procambarus_clarkii_native,random_forest,snapping,50,30,0.7942689373530122,0.7740414604722959,0.8131355588139901
Procambarus_clarkii_native,xgboost,lowacc,0,50,0.7901805593844449,0.7757530538807615,0.8030367149137627
