algorithm,track,axis,level,n_reps_ok,auc_mean,auc_lo,auc_hi,tss_mean,tss_lo,tss_hi,brier_mean,brier_lo,brier_hi,sensitivity_mean,sensitivity_lo,sensitivity_hi,specificity_mean,specificity_lo,specificity_hi
maxent,upstream_only,lowacc,10,50,0.6311853103746237,0.6163391759271704,0.6456949202887687,0.19025737027473708,0.1738688163487063,0.20630405083725067,0.13682228577211925,0.12853066102804395,0.14490029421519418,0.3347630167113899,0.32447395819086705,0.3449997868005347,0.8554943535633471,0.8424580344629394,0.8678716551487354
maxent,upstream_only,lowacc,20,30,0.62329104338593,0.6052337267698616,0.6415506312139532,0.18337311043863577,0.16604849768105712,0.20084921973217623,0.12836644646223888,0.11883215004286583,0.13848697278118588,0.3178918771389793,0.30401644698368196,0.33109445334803506,0.8654812332996564,0.8481588028243829,0.8818013591341914
maxent,upstream_only,lowacc,35,28,0.60337390347024,0.5838040734953416,0.6216221975384706,0.15583430610647162,0.14748892573315986,0.1637175328309954,0.13961402497342248,0.1334308903402658,0.14589052240855474,0.29333482507250797,0.2852735562313669,0.3017502860577641,0.8624994810339637,0.8522835458779261,0.871557248874742
maxent,upstream_only,lowacc,50,30,0.5854938414579788,0.5651324017663137,0.6054931998780207,0.12337194159571324,0.11078945058449152,0.13724677889912618,0.148660690406589,0.14026192625171413,0.15856995378710093,0.25868010703634164,0.24811106735545632,0.26969809509220827,0.8646918345593715,0.8511867662943033,0.8772884087625767
maxent,upstream_only,snapping,0,50,0.628792803568626,0.6152096803433144,0.6423447372716663,0.182402971301886,0.16894801576769608,0.1967403580025499,0.13904813671432004,0.13127381406083402,0.14722567591559219,0.3360423382748485,0.32444432079216484,0.3476666429668282,0.8463606330270375,0.8329953740796818,0.8598667052810408
maxent,upstream_only,snapping,5,50,0.6270013306157314,0.6102790639961311,0.6430493741416926,0.18153873127250747,0.16664544832504197,0.19630850225963611,0.14496255765786034,0.1370362235128386,0.15253131351863922,0.3412771191145325,0.32826432414212947,0.3545502267790212,0.840261612157975,0.8282843795267911,0.8514295181548871
maxent,upstream_only,snapping,10,50,0.6395612359536597,0.6244425485178925,0.6538059208316386,0.18228216361670405,0.16816411652026017,0.19652117790762877,0.14648010631669872,0.13854570217513562,0.15463280284906666,0.3357572348398162,0.3248480584139157,0.34720641151667053,0.8465249287768877,0.8355779628456795,0.8573941715495615
maxent,upstream_only,snapping,20,30,0.6249935718571932,0.603580315827647,0.6459664378163408,0.1928534833579595,0.17536896508443714,0.20945638684005602,0.1423217526578831,0.13317335308312966,0.1514038710993682,0.3459884274047886,0.3328380517746747,0.35934846930947206,0.8468650559531707,0.8329026151482296,0.8602696262796458
maxent,upstream_only,snapping,35,30,0.6356241495096818,0.61796474984459,0.6532153789390027,0.1794395616060729,0.15958325255240116,0.19731020068965124,0.14373764133504577,0.13265082162236302,0.15476308449454346,0.33518655137379844,0.32449132835232997,0.34680054080648975,0.8442530102322743,0.8262396927398769,0.8621342518741941
maxent,upstream_only,snapping,50,30,0.6517619886711652,0.6347274401797428,0.6673855153530934,0.20752299596311025,0.19184953427118073,0.22364547727301243,0.13510342047844162,0.12809696753656435,0.14190039186502465,0.3462363411439824,0.33237728786342624,0.36113923495715855,0.8612866548191281,0.8511315701430253,0.8716112851691297
random_forest,combined,lowacc,0,50,0.7851448811526762,0.7679070225263781,0.8009617099521252,0.3609580580267975,0.3368160353544819,0.385084755935272,0.15108869096739364,0.14746011804301762,0.15476937632176882,0.8046172141939074,0.7896051238521081,0.8179766994622797,0.5563408438328902,0.5282116734949128,0.5829565835235041
random_forest,combined,lowacc,5,50,0.7548081340148456,0.7415833037830482,0.766488991669029,0.34996751402885984,0.3276833631542919,0.37299561503452683,0.16409295641263186,0.16018560762994394,0.16810490256534344,0.7876539884112492,0.7723733594847777,0.8020710205875162,0.5623135256176105,0.5360354343033334,0.5860208551579473
random_forest,combined,lowacc,10,50,0.7489505830337018,0.7350452798027607,0.7620321582835741,0.3208449271615128,0.2966656577639579,0.3448237113704921,0.17036526186564457,0.16712135990234506,0.17368871750196918,0.7691424784012295,0.7557244369291783,0.7832561431918889,0.5517024487602832,0.5257545551076723,0.5784226676706291
random_forest,combined,lowacc,20,30,0.7246935741575047,0.7048766600961114,0.7415268588773708,0.26725211791123155,0.2398445205194257,0.29482048034151576,0.18519551613927096,0.18097918395508902,0.18962271953775683,0.741937080918348,0.724607158761012,0.7578763985460328,0.5253150369928837,0.49324826445625813,0.5555159567031429
random_forest,combined,lowacc,35,30,0.6864329069176079,0.6762496724326083,0.6967932036389697,0.20306002334055592,0.1786620131207789,0.22824426427105493,0.20377589145131664,0.20027094554171704,0.2077041302601613,0.7276680323756394,0.7101929359838501,0.7437810815284089,0.4753919909649166,0.44942224355809224,0.5007401887144922
random_forest,combined,lowacc,50,30,0.6825577170263408,0.6675119881070225,0.695359317781793,0.23697813094180525,0.20994419866385527,0.2608212088971962,0.2172255167683856,0.21318999874784123,0.2211625704223928,0.7301865773809243,0.712313048934305,0.7466829420183324,0.506791553560881,0.47792594852767545,0.5348115417656469
