entity_id,algorithm,axis,level,n_reps_ok,auc_mean,auc_lo,auc_hi
Austropotamobius_torrentium_pooled,maxent,lowacc,0,44,0.668771237008658,0.6503704375321743,0.6868699583516699
Austropotamobius_torrentium_pooled,maxent,lowacc,5,39,0.6348895684855265,0.6075482754137311,0.6580439912009078
Austropotamobius_torrentium_pooled,maxent,lowacc,10,34,0.6402788019039636,0.6152326731862636,0.6659817213717266
Austropotamobius_torrentium_pooled,maxent,lowacc,20,25,0.6460804147697315,0.6166082438788512,0.6748554540969878
Austropotamobius_torrentium_pooled,maxent,lowacc,35,26,0.5921866528458894,0.5680972686574284,0.6153964655998864
Austropotamobius_torrentium_pooled,maxent,lowacc,50,25,0.5982281286205997,0.5679050927316645,0.6262027705166796
Austropotamobius_torrentium_pooled,maxent,snapping,0,44,0.6473346011140516,0.6205236565943304,0.6708983578522056
Austropotamobius_torrentium_pooled,maxent,snapping,5,40,0.6485243021128992,0.6251892117455184,0.6722225123311754
Austropotamobius_torrentium_pooled,maxent,snapping,10,44,0.6419575743258373,0.6201525655066675,0.6634159639246086
Austropotamobius_torrentium_pooled,maxent,snapping,20,25,0.6020556497669648,0.5798569848008548,0.6223114589924333
Austropotamobius_torrentium_pooled,maxent,snapping,35,25,0.6153749505284584,0.5870384704211291,0.6424843841482674
Austropotamobius_torrentium_pooled,maxent,snapping,50,29,0.5817663361371783,0.5528776950416487,0.6076676553438223
Austropotamobius_torrentium_pooled,random_forest,lowacc,0,50,0.7680668629679083,0.7362825762252182,0.7966920854557433
Austropotamobius_torrentium_pooled,random_forest,lowacc,5,50,0.7192818646376647,0.6890472748911476,0.7477433809376234
Austropotamobius_torrentium_pooled,random_forest,lowacc,10,50,0.7169521039594038,0.6890652348077666,0.7438721956432024
Austropotamobius_torrentium_pooled,random_forest,lowacc,20,30,0.6922658344654777,0.6595906984067924,0.7225764017492149
Austropotamobius_torrentium_pooled,random_forest,lowacc,35,30,0.6893210701362456,0.6606579802226535,0.7193666165876833
Austropotamobius_torrentium_pooled,random_forest,lowacc,50,30,0.6483333942624335,0.6097782861433331,0.6851120006183242
Austropotamobius_torrentium_pooled,random_forest,snapping,0,50,0.7331073487185426,0.7003177627874034,0.7617232512425853
Austropotamobius_torrentium_pooled,random_forest,snapping,5,50,0.7328477816850275,0.7024965929245087,0.7592834450826175
Austropotamobius_torrentium_pooled,random_forest,snapping,10,50,0.7374825731786159,0.7075803410942868,0.7669901593095851
Austropotamobius_torrentium_pooled,random_forest,snapping,20,30,0.7254740952556865,0.6899910846559792,0.7574965536714945
Austropotamobius_torrentium_pooled,random_forest,snapping,35,30,0.7134208951322645,0.6766583176843469,0.7509976538147428
Austropotamobius_torrentium_pooled,random_forest,snapping,50,30,0.7148569991658492,0.6803918359311605,0.7466417567141178
Austropotamobius_torrentium_pooled,xgboost,lowacc,0,50,0.7641132441553036,0.7332770596091921,0.7936980391135802
Austropotamobius_torrentium_pooled,xgboost,lowacc,5,50,0.7296737950170489,0.6997960213648854,0.7589333224651672
Austropotamobius_torrentium_pooled,xgboost,lowacc,10,50,0.7174406627222045,0.6910060908012282,0.743065057958348
Austropotamobius_torrentium_pooled,xgboost,lowacc,20,30,0.6946305503863223,0.66327307217792,0.7237947988902125
Austropotamobius_torrentium_pooled,xgboost,lowacc,35,30,0.6952512644944571,0.6668913354390534,0.7241129495781381
Austropotamobius_torrentium_pooled,xgboost,lowacc,50,30,0.6326122475766578,0.5972196695620526,0.6665287068937434
Austropotamobius_torrentium_pooled,xgboost,snapping,0,50,0.743632167755635,0.712345795553027,0.7731988909840612
Austropotamobius_torrentium_pooled,xgboost,snapping,5,50,0.7377120835749365,0.7078181065244388,0.7659602243749737
Austropotamobius_torrentium_pooled,xgboost,snapping,10,50,0.717542250873324,0.6840025103455449,0.7515171787237476
Austropotamobius_torrentium_pooled,xgboost,snapping,20,30,0.6924033234521051,0.6524696771672479,0.7320010181356923
Austropotamobius_torrentium_pooled,xgboost,snapping,35,30,0.711946151793064,0.6744050353281411,0.7487559356700065
Austropotamobius_torrentium_pooled,xgboost,snapping,50,30,0.6788259836610757,0.6342993375808563,0.7275377346883288
Pacifastacus_leniusculus_alien,maxent,lowacc,0,50,0.8078833217263762,0.8038076122440546,0.8122510871286192
Pacifastacus_leniusculus_alien,maxent,lowacc,5,50,0.7774270853173924,0.7713967592098527,0.7833791773458569
